keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"guess the emoji","10","8","4.17","3.63","0","Guess The Emoji | Guess The Emoji - Movies | Emoji Puzzle: Guess The Emoji | Emoji Quiz - Guess the Emojis | Emoji Quiz - Guess the Emojis | Guess The Emoji - Quiz Game | Emoji Guess Challenge | Emoji Guess Puzzle | Guess the Emoji - Emoji Puzzle | Emoji Puzzle: Guess the Emoji"
"who is game","10","0","4.56","4.26","0","Brain Test: Tricky Puzzles | Who is? Brain Teaser & Riddles | Math | Riddle and Puzzle Game | Brain Test 2: Tricky Stories | Logic Grid Puzzles: Brain Game | Brain Test 4: Tricky Friends | Two Dots: Brain Puzzle Games | Brain It On! - Physics Puzzles | Number Match - Number Games | Elevate - Brain Training Games"
"heads up","10","8","4.15","3.21","0","Heads Up! | Heads-Up! | Heads Up! Netflix Edition | Guess! Heads Up Charades Game | Heads Up Charades: Party Game | Heads Up Health for Android | Heads Up Health 2.0 | Charades: Heads up! | Charades & Headbands: Guess Up | Guess It! Heads Up & Charades"
"charades","10","9","4.34","3.50","0","Charades! | Heads Up! | Charades Guess Game — Guessly | Charades | Party Charades: Headbands Game | Charades | Charades & Headbands: Guess Up | Charades: Act It Out! | Charades for Kids: Family Game | Charades for Kids - Guess Up"
"cooking game","10","2","4.39","3.34","0","Cookingo: Perfect Meal | Cooking Fever: Restaurant Game | Royal Cooking - Cooking Game | Cooking Madness: A Chef's Game | My Cooking: Restaurant Game | Cookingdom | Cooking Rage - Restaurant Game | Toca Boca Jr: Fun Kids Games | Cooking Crush - Cooking Game | Cooking Dash"
"restaurant game","10","6","4.57","4.32","0","Cooking Fever: Restaurant Game | My Cafe — Restaurant Game | Cooking City: Restaurant Games | Cooking World ! | Cooking Madness: A Chef's Game | Pizza Ready! | My Cooking: Restaurant Game | Cooking Rage - Restaurant Game | Cooking Tour: Restaurant Games | Hungry Hearts Restaurant"
"bakery game","10","0","4.22","3.83","0","Little Panda: Sweet Bakery | Sweet Escapes: Build A Bakery | Baker Business 3 | Strawberry Shortcake Bake Shop | My Bakery Town:Decorate &Grow | Little Panda's Cake Shop | Cake Maker Fun Cooking Games | Bakery Story 2 | Bakery Story™ | Merge Bakery -  Idle Dessert T"
"ice cream game","10","1","4.09","3.42","0","Ice Scream 1: Scary Horror | Ice Cream Inc. ASMR, DIY Games | Ice Cream - Cooking for Kids | Little Panda's Ice Cream Games | Ice Cream Shop Games for Kids | Ice Cream Making Game For Kids | Dessert DIY | Ice Cream Cooking Games | Baby Panda’s Ice Cream Shop | Little Panda's Ice Cream Stand"
"pizza game","10","2","4.35","3.74","0","Pizza Ready! | Good Pizza, Great Pizza | Pizza Cooking Games for Kids | Pizza Game: Kids Cooking Games | Masha and the Bear Pizza Maker | Pizza Games for kids | Pizza maker cooking games | Papa's Pizzeria To Go! | Pizza Maker Kids Cooking games | My Pizza Shop 2: Food Games"
"cake game","10","0","4.24","3.57","0","Cake Maker: Kids Cooking Games | Little Panda's Cake Shop | Cake Maker Fun Cooking Games | Strawberry Shortcake Bake Shop | My Bakery Empire: Bake a Cake | Cake Sort - Color Puzzle Game | Cake Cooking Games for Kids 2+ | Little Panda: Sweet Bakery | Cake Maker Kids Cooking Games | Cake Sort 3d - Match and Merge"
