keyword,ranked,exact_title,avg_score,min_score,fresh_updated,top_titles
"yoga story kids","10","0","4.10","2.22","0","Cosmic Kids Yoga | Calm Kids: Mindfulness & Yoga | Yoga for Kids & Family fitness | Yoga For Kids - Grow Taller | Kids Exercise: Kids Workout | Yoga for Kids | Yoga For Kids Workout | YogaKids | Kids Workout for Weight Loss | Fitness for Kids: Kids Workout"
"sensory story kids","10","0","4.43","3.98","0","Tombli: Sensory Sandbox | Pinkfong Kids Stories | Short Stories for Kids to Read | Ori Story Bedtime Kids Stories | Bedtime Stories and Fables | Kids' Stories and Books | Kidly – Stories for Kids | Twinkl Originals Story Books | Bedtime Stories for Kids | Readmio: Bedtime Stories Aloud"
"autism story","10","0","3.62","2.00","0","SocialBlossom: Autism & ADHD | SOFA Stories Online For Autism | Visual Schedules and Social St | Otsimo | Special Education | AutiSpark: Kids Autism Games | Language Therapy for Children  | Nova: Autism Support Assistant | Autism 360: Parenting | CommBoards AAC – Autism Speech | Unmasked: Adult Autism & ADHD"
"dinosaur story","10","0","3.90","3.12","0","Dinosaur Games Kids | Read & Play: Which Dinosaur | Dinosaur games for toddlers | Dinosaurs for kids - Jurassic | Dinosaur Games for kids: Park | Pinkfong Dino World: Kids Game | Vkids Dinosaurs: Jurassic Worl | Jurassic Dinosaur - for kids | Dinosaur Games For Toddlers | Dinosaur Guard: Games for Kids"
"princess story","10","3","4.39","3.69","0","Bedtime Stories & Fairy Tales | Fairy Tales World: Kid Stories | Princess Tale | Baby Princess Story | Oscar Stories for Children | Fairy Tales - Stories for Kids | Fashion Diary: Princess Story | Kids Stories by Story Whisper | Princess Story Books for Girls | Fairy Tales ~ Children’s Books"
"animal story","10","0","4.43","4.17","0","Happy Pet Story: Virtual Pet | Family Zoo: The Story | Nighty Night - Bedtime Story | Animal Stories &Books for Kids | Stories of animals in Quran3 | Children’s Story – Storyland | Stories of animals in Quran1 | Animal Rescue: Pet Shop Story | Stories of animals in Quran2 | Oscar Stories for Children"
"space story kids","10","0","4.21","3.09","0","Little Astronauts - Space Kids | Ori Story Bedtime Kids Stories | What's in Space? | Kids Stories by Story Whisper | Kids Astronomy by Star Walk 2 | Star Walk Kids - Explore Space | Oscar Stories for Children | Little Stories: Bedtime Books | Children’s Story – Storyland | Pinkfong Kids Stories"
"christmas story kids","10","0","4.53","3.98","0","Christmas Story | Christmas Stories 7: Fantasy | Pinkfong Christmas Fun | Christmas Stories | Pinkfong Kids Stories | Bedtime Bible Stories for Kids | Bedtime Stories for Kids | Kids Christmas Puzzles & Games | Bedtime Stories for Kids Sleep | Short Stories for Kids to Read"
"halloween story kids","10","0","4.34","3.20","0","Bedtime Stories and Fables | Kids Bedtime Stories & Audio | Ori Story Bedtime Kids Stories | Halloween Games for Kids | Halloween - Trick or Treat | Bedtime Stories for Kids Sleep | Oscar Stories for Children | ZoodleMe: AI Kids Story app | Bedtime Stories for Kids | Bedtime Stories for Kids"
"educational story","10","0","4.39","3.45","0","Twinkl Originals Story Books | Little Stories: Bedtime Books | Epic: Kids' Books & Reading | Short Stories for Kids to Read | StorySelf: kids loving story | Calm Storytime: Truth & Tales | Fairy Tales ~ Children’s Books | Khan Academy Kids | Bedtime Stories: Story Time AI | Vooks: Read-Aloud Kids' Books"
